Start Time,End Time,gpt-5-thinking,GPT-5.5 - Input,GPT-5.5 - Cached Input,GPT-5.4 - Input,GPT-5.5 Fast - Input,gpt-5-pro,GPT-5.4 - Cached Input,Image Gen,GPT-5.5 - Output,Other
2026-05-27,2026-05-28,5990,1907.887250000001,1484.1664,1373.42275,1939.2690624999998,650,307.88879999999995,210,554.6580000000001,4338.083191249999
2026-05-28,2026-05-29,2160,686.653125,515.6335999999998,197.05293749999998,449.5671875,250,58.3168,90,152.77425,1290.5523887499996
2026-05-29,2026-05-30,490,235.748,170.3456,500.057625,408.0018749999999,150,145.72,90,54.37050000000001,1870.2028900000003
2026-05-30,2026-05-31,80,0,0,32.2224375,0,0,6.4384,0,0,73.52647250000003
2026-05-31,2026-06-01,60,4.6850000000000005,1.1776,163.21693749999997,0,0,32.3568,0,1.97475,141.69422374999996
2026-06-01,2026-06-02,730,230.071375,77.76480000000001,551.8853750000001,216.2290625,150,145.5208,165,59.388749999999995,1038.18832875
2026-06-02,2026-06-03,620,158.623875,150.24640000000005,117.6150625,316.34125,200,74.04719999999999,115,51.8115,1065.1514974999998
2026-06-03,2026-06-04,40,35.64275,14.2112,54.7835625,0,0,21.18,20,10.09425,82.76429625000002
2026-06-04,2026-06-05,1890,405.57874999999996,152.17919999999995,395.2461874999999,827.5159375000001,650,231.368,215,100.64999999999998,1843.8154149999998
2026-06-05,2026-06-06,1060,385.71987499999994,326.81919999999997,407.54299999999995,783.488125,250,442.4128000000001,200,133.38075,1426.85896625
2026-06-06,2026-06-07,50,242.072,161.248,3.7999375,0,0,1.664,10,60.00825,15.0737525
2026-06-07,2026-06-08,80,8.47075,0.8336,24.6476875,0,50,26.786399999999997,10,3.156,57.67603125
2026-06-08,2026-06-09,1460,921.4816249999999,660.2512000000002,103.643625,430.1706249999999,150,137.9488,935,303.60074999999995,1457.00540625
2026-06-09,2026-06-10,1130,318.42737500000004,225.4864,144.5478125,440.231875,150,154.4272,175,130.75875000000002,1956.0553033333001
2026-06-10,2026-06-11,1130,812.3371250000001,413.3008,122.17175,676.2215625000001,350,154.0344,170,333.13500000000005,2405.8711675000004
2026-06-11,2026-06-12,1860,311.409875,221.3904,333.32768749999997,333.8028125000001,300,367.704,195,141.8925,1338.9166925
2026-06-12,2026-06-13,840,413.20237499999996,354.0176,121.6606875,211.5571875,850,121.57439999999997,265,136.94025,981.4872662500002
2026-06-13,2026-06-14,70,0,0,21.155562500000002,124.75625,0,14.0128,0,0,117.13807625
2026-06-14,2026-06-15,120,146.33662500000003,114.73120000000002,69.4448125,180.2128125,0,70.59519999999998,0,89.38425000000001,433.49984000000006
2026-06-15,2026-06-16,1640,1824.8075000000001,1106.1984,144.6641875,230.29,100,104.196,775,598.3035000000001,1293.8806762499999
2026-06-16,2026-06-17,1590,693.6753750000003,487.9663999999999,453.256,859.1393750000001,350,345.6928000000001,265,226.56225,2902.4982875000005
2026-06-17,2026-06-18,1500,971.78275,608.6240000000001,669.1340625,196.5209375,200,723.6039999999999,290,340.2300000000001,1779.0071962499999
2026-06-18,2026-06-19,1300,1157.7987499999997,870.9552,524.5418749999999,108.45656249999999,250,448.18319999999994,405,449.99100000000004,1036.0390337499998
2026-06-19,2026-06-20,600,265.5305,104.30399999999999,483.1552500000002,24.1865625,50,418.83840000000015,265,68.47425,749.5964000000001
2026-06-20,2026-06-21,0,134.46800000000002,42.4784,13.6885625,0,0,5.8351999999999995,0,42.46725,8.868075
2026-06-21,2026-06-22,150,1385.3941250000003,860.9696000000001,95.25543749999999,0,100,116.18240000000002,35,414.51900000000006,161.3621525
2026-06-22,2026-06-23,1950,1826.0384999999997,1112.3376,703.4678750000002,46.0865625,1950,605.5336,690,597.4544999999999,1345.5593062499997
2026-06-23,2026-06-24,1440,1963.7773749999997,1285.1744,826.3373124999998,0,400,682.6584,190,605.5814999999999,922.3835175
2026-06-24,2026-06-25,1540,1328.7504999999999,659.8464,769.96,0,500,921.3808000000001,335,377.5905000000001,1152.9532425
